caso,premissa,premissa_label,esperado,inferido,acerto,evidencia
14,tipo_problema,Tipo de problema,Ordenacao,Ordenacao,1,ordenar(1) | ranking(1) | prioridade(1) | ordenar as alternativas(1) | regra_precedencia_ordenacao
14,compensatoriedade,Compensatoriedade,Compensatorio,Compensatorio,1,compensar(1) | compensacao(1) | permite compensacao(1) | compensacao entre criterios(1) | regra_regex_compensatorio
14,tipo_variavel,Tipo de variável,Mista,Mista,1,quantitativos e qualitativos(1) | criterios quantitativos e qualitativos(1) | regra_precedencia_variavel_mista
14,monotonicidade,Monotonicidade,NaoMonotonico,NaoMonotonico,1,nao monotonico(1) | faixa ideal(1) | ponto otimo(1) | regra_semantica_nao_monotonico
14,estrutura_decisoria,Estrutura decisória,Grupo,Grupo,1,grupo(1) | grupo de decisores(1)
14,completude_pref,Completude das preferências,Completo,Completo,1,todas as alternativas(1) | regra_semantica_completo
14,ambiente_decisao,Ambiente de decisão,Incerteza,Incerteza,1,incerteza(1) | regra_precedencia_incerteza
14,ponderabilidade,Ponderabilidade,Ponderavel,Ponderavel,1,pesos dos criterios(1) | regra_semantica_ponderavel
14,usa_pesos,Usa pesos,Sim,Sim,1,regra_semantica_pesos
14,requer_pesos,Requer pesos,Sim,Sim,1,regra_semantica_pesos
15,tipo_problema,Tipo de problema,Ordenacao,Ordenacao,1,ordenar(1) | ranking(1) | prioridade(1) | ordenar as alternativas(1) | regra_precedencia_ordenacao
15,compensatoriedade,Compensatoriedade,ParcialmenteCompensatorio,ParcialmenteCompensatorio,1,compensacao parcial(1) | compensacao parcial entre criterios(1) | admite compensacao parcial(1) | regra_regex_compensacao_com_veto
15,tipo_variavel,Tipo de variável,Mista,Mista,1,quantitativos e qualitativos(1) | criterios quantitativos e qualitativos(1) | regra_precedencia_variavel_mista
15,monotonicidade,Monotonicidade,Monotonico,NaoMonotonico,0,regra_semantica_nao_monotonico
15,estrutura_decisoria,Estrutura decisória,Grupo,Grupo,1,grupo(1) | grupo de decisores(1)
15,completude_pref,Completude das preferências,Completo,Completo,1,todas as alternativas(1) | regra_semantica_completo
